name,title,hours,salary1,salary2,salary3
LEE C BOLLINGER,PRESIDENT,60,4225069,0,416351
KENNETH A FORDE MD,TRUSTEE,3,789000,0,2592
ROLANDO T ACOSTA,TRUSTEE,3,0,0,0
ARMEN A AVANESSIANS,TRUSTEE,3,0,0,0
WILLIAM V CAMPBELL,TRUSTEE,3,0,0,0
LISA CARNOY,TRUSTEE,3,0,0,0
NOAM GOTTESMAN,TRUSTEE,3,0,0,0
JOSEPH A GREENAWAY JR,TRUSTEE,3,0,0,0
JAMES HARDEN,TRUSTEE,3,0,0,0
BENJAMIN HOROWITZ,TRUSTEE,3,0,0,0
ANN F KAPLAN,TRUSTEE,3,0,0,0
MARK E KINGDON,TRUSTEE,3,0,0,0
JONATHAN LAVINE,TRUSTEE,3,0,0,0
GERRY LENFEST,TRUSTEE (THROUGH 9/1/2013),3,0,0,0
CHARLES LI,TRUSTEE,3,0,0,0
PHILIP MILSTEIN,TRUSTEE (THROUGH 9/1/2013),3,0,0,0
VIKRAM PANDIT,TRUSTEE,3,0,0,0
MICHAEL B ROTHFELD,TRUSTEE,3,0,0,0
JONATHAN D SCHILLER,TRUSTEE,3,0,0,0
ESTA STECHER,TRUSTEE,3,0,0,0
FAYE WA'I'I'LETON,TRUSTEE,3,0,0,0
CLAIRE SHIPMAN,TRUSTEE (AS OF 10/1/2013),3,0,0,0
ANDREW BARTH,TRUSTEE (AS OF 10/12/2013),3,0,0,0
JANE E BOOTH,GENERAL COUNSEL,60,581403,0,42073
JOHN COATSWORTH,PROVOST,60,695582,0,47857
JEROME DAVIS,SECRETARY,60,344776,0,40309
ROBERT KASDIN,SENIOR EXECUTIVE VP,60,766722,0,49609
DAVID MADIGAN,EXEC VP — ARTS & SCIENCES,60,356287,0,96777
ANNE R SULLIVAN,EXECUTIVE VP FOR FINANCE,60,541544,0,70263
DR LEE GOLDMAN MD,EXEC VP FOR HEALTH SCIENCES,60,1190228,0,489981
PETER HOLLAND,EXEC VP OF INVESTMENT MGMT,60,3140134,0,2283369
JOSEPH A IENUSO,EXEC VP OF FACILITIES,60,442093,0,51984
NIRMAL NARVEKAR,PRESIDENT OF INVESTMENT MGMT,60,3492082,0,2522089
FREDERICK M VAN SICKLE,EXEC VP — UNIV DEV & ALUM REL,60,533744,0,62073
DAVID N SILVERS,CLINICAL PROFESSOR,60,4827983,0,46639
JEFFREY W MOSES,PROFESSOR OF MEDICINE,60,3083272,0,66595
CRAIG R SMITH,PROFESSOR OF SURGERY,60,2125576,0,58591
MARTIN B LEON,PROFESSOR OF SURGERY,60,1733272,0,64530
GREGG STONE,PROFESSOR OF SURGERY,60,1733272,0,75352
ALAN BRINKLEY,PROVOST (FORMER),0,430187,0,60843
SUSAN K FEAGIN,EXEC VP—UNIV DEV&ALUM(FORMER),0,459036,0,36861
NICHOLAS B DIRKS,EXEC VP— ARTS&SCIENCES(FORMER),0,1245745,0,49544
