line1,line2,line3,key
(1) Nancy Armbrust 2 0,............................................................................................. .. X X 0 0 0,Secretary 0 0,nancy
(2) Gregg Behrens 1 0,............................................................................................. .. X 0 0 0,Director 0 0,gregg
(3) Lloyd Bettis 2 0,............................................................................................. .. X X 0 0 0,Vice Chair 0 0,lloyd
(4) Michael Dubes 1 0,............................................................................................. .. X 0 0 0,Director 0 0,michael
(5) Jon Fleming 1 0,............................................................................................. .. X 0 0 0,Director 0 0,jon
(6) James Frein 1 0,............................................................................................. .. X 0 0 0,Director 0 0,james
(7) Rudolf Herrmann 1 0,............................................................................................. .. X 0 0 0,Director 0 0,rudolf
(8) Barbara Janson 1 0,............................................................................................. .. X 0 0 0,Director 0 0,barbara
(9) Daniel Krieger 1 0,............................................................................................. .. X 0 0 0,Director 0 0,daniel
(10) Steven Leath 1 0,............................................................................................. .. X 0 0 0,Director 0 0,steven
(11) Leonard Rodman 5 0,............................................................................................. .. X X 0 0 0,Chair 0 0,leonard
(12) Steven Schuler 2 0,............................................................................................. .. X X 0 0 0,Treasurer 0 0,steven
(13) Gary Streit 1 0,............................................................................................. .. X 0 0 0,Director 0 0,gary
(14) Roger Underwood 1 0,............................................................................................. .. X 0 0 0,Director 0 0,roger
(15) Roger Neuhaus 40 0,"............................................................................................. .. x 332,960 39,932",PreSIdent (7/2014 — 3/2015) 0 0,roger
(16) Larissa Holtmyer Jones 40 0,"............................................................................................. .. x 217,257 38,818",PreSIdent (3/2015 — present) 0 0,larissa
(17) Lisa Eslinger 40 0,"............................................................................................. .. x 213,089 30,581",Sr VP of Finance & Ops 0 0,lisa
(18) Steve Biever 40 0,"............................................................................................. .. x 150,672 31,851",VP for Development 0 0,steve
(19) Jeremy GaIVIn 40 0,"............................................................................................. .. x 145,642 31,050",VP for Development 0 0,jeremy
(20) KeVIn Stow 40 0,"............................................................................................. .. x 129,665 29,323","Assoaate VP, Human Resources 0 0",kevin
(21) John Glover 40 0,"............................................................................................. .. x 122,853 22,817",Asst VP for Development 0 0,john
(22) Rosa Unal 40 0,"............................................................................................. .. x 118,972 28,535",Assoaate VP of IT and DCS 0 0,rosa
(23) Mike Wahlin 40 0,"............................................................................................. .. x 113,888 27,960",As5istant VP and Controller 0 0,mike
(24) Ray Klein 40 0,"............................................................................................. .. x 111,301 27,262","Executive Dir of Dev, Ag & LS 0 0",ray
"c Total from continuation sheets to Part VII, Section A . . . . F","Total (add lines 1b and 1c) . . . . . . . . . . . . I"" 1,656,299 308,129",2 Total number of indiViduaIS (including but not limited to those listed above) who received more than,sheets
"Total (add lines 1b and 1c) . . . . . . . . . . . . I"" 1,656,299 308,129",2 Total number of indiViduaIS (including but not limited to those listed above) who received more than,"$100,000 of reportable compensation from the organizationhI-12",lines
2 Total number of indiViduaIS (including but not limited to those listed above) who received more than,"$100,000 of reportable compensation from the organizationhI-12",Yes No,number
"3 Did the organization list any former officer, director ortrustee, key employee, or highest compensated employee","on line 1a? If ""Yes,"" complete Schedu/leorsuch IndIVIdua/ . . . . . . . . . . . . . . No","4 For any indiVidual listed on line 1a, iS the sum of reportable compensation and other compensation from the",list
"on line 1a? If ""Yes,"" complete Schedu/leorsuch IndIVIdua/ . . . . . . . . . . . . . . No","4 For any indiVidual listed on line 1a, iS the sum of reportable compensation and other compensation from the","organization and related organizations greaterthan $150,000? If ""Yes,"" complete Schedu/leorsuch",on
"4 For any indiVidual listed on line 1a, iS the sum of reportable compensation and other compensation from the","organization and related organizations greaterthan $150,000? If ""Yes,"" complete Schedu/leorsuch",IndIVIdua/........................... Yes,on
5 Did any person listed on line 1a receive or accrue compensation from any unrelated organization or indiVidual for,"serVIceS rendered to the organization? If ”Yes,”complete Schedu/leorsuch person . . . . . . . . No",Section B. Independent Contractors,on
Section B. Independent Contractors,"1 Complete this table for yourfive highest compensated independent contractors that received more than $100,000 of",compensation from the organization Report compensation for the calendar year ending With or Within the organization’s tax year,section
compensation from the organization Report compensation for the calendar year ending With or Within the organization’s tax year,(A) (B) (C),Name and busmess address Description of serVIces Compensation,or
"Cambridge Assoaates, Consulting 673,125",4100 North Fairfax Drive SUIte 130,"Arlington, VA 222031664",cambridge
4100 North Fairfax Drive SUIte 130,"Arlington, VA 222031664","Tweedy Browne Company LLC, Investment Fees 415,903",north
"Arlington, VA 222031664","Tweedy Browne Company LLC, Investment Fees 415,903",Metro Center One Station Place,va
"Tweedy Browne Company LLC, Investment Fees 415,903",Metro Center One Station Place,"Stamford, CT 06902",tweedy
Metro Center One Station Place,"Stamford, CT 06902","HPC LLC, Construction Sewice 387,151",metro
120 N Sherman Avenue,"Ames,IA 50010","Kiltearn Partners Inc, Investment Fees 258,520",sherman
"Kiltearn Partners Inc, Investment Fees 258,520",651 Holiday Drive SUIte 300,"PITTSBURGH, PA 15220",fees
651 Holiday Drive SUIte 300,"PITTSBURGH, PA 15220","Investment Fees 212,801",holiday
