line1,line2,line3,key
REV PETER M DONOHUE OSA 35 0,X X,PRESIDENT/TRUSTEE,peter
MR RICHARD P BRENNAN 1 0,X,TRUSTEE AS REQUIRED,richard
MR JAMES C DAVIS 1 0,X,TRUSTEE AS REQUIRED,james
MS DENISE L DEVINE 1 0,X,TRUSTEE AS REQUIRED,denise
NANCE K DICCIANI PHD 1 0,X,TRUSTEE AS REQUIRED,nance
MR DANIEL M DILELLA 1 0,X,TRUSTEE AS REQUIRED,daniel
MR PETER L FONG 1 0,X,TRUSTEE AS REQUIRED,peter
DARRYLJ FORD PhD 1 0,X,TRUSTEE AS REQUIRED,ford
VREV ANTHONY M GENOVESEOSA 1 0,X,TRUSTEE AS REQUIRED,anthony
MR WILLIAM M GIBSON 1 0,X,TRUSTEE AS REQUIRED,william
MR JUSTIN G GMELICH 1 0,X,TRUSTEE AS REQUIRED,justin
REV PETER G GORI OSAJCD 1 0,X,TRUSTEE AS REQUIRED,peter
HELEN M HORSTMANN MD 1 0,X,TRUSTEE AS REQUIRED,helen
MR JOHN PJONES III 1 0,X,TRUSTEE AS REQUIRED,john
MS CATHERINE M KEATING 1 0,X,TRUSTEE AS REQUIRED,catherine
MS SHEILA F KLEHM 1 0,X,TRUSTEE AS REQUIRED,sheila
MR PATRICK G LePORE 1 0,X,TRUSTEE AS REQUIRED,patrick
MS ELIZABETH T MAZZEO 1 0,X,TRUSTEE AS REQUIRED,elizabeth
MR ROBERTJ MCCARTHY 1 0,X,TRUSTEE AS REQUIRED,mccarthy
MR PATRICK M MCMAHON 1 0,X,TRUSTEE AS REQUIRED,patrick
MS ANNE WELSH MCNULTY 1 0,X,TRUSTEE AS REQUIRED,anne
MR ROBERT F MORAN 1 0,X,TRUSTEE AS REQUIRED,robert
REV KEVIN C MULLINS OSA 1 0,X,TRUSTEE AS REQUIRED,kevin
MR THOMAS M MULROY 1 0,X,TRUSTEE AS REQUIRED,thomas
REV JOSEPH L NAROG OSA 1 0,X,TRUSTEE AS REQUIRED,joseph
MARY D NAYLOR PhD RN 1 0,X,TRUSTEE AS REQUIRED,mary
REV JAMES D PARADIS OSA 1 0,X,TRUSTEE AS REQUIRED,james
VREV BERNARD C SCIANNA OSA 1 0,X,TRUSTEE AS REQUIRED,bernard
BR ROBERT THORNTON OSA 1 0,X,TRUSTEE AS REQUIRED,robert
MR JOSEPH VTOPPER JR 1 0,X,TRUSTEE AS REQUIRED,joseph
REV T SHAWN TRACY OSA 1 0,X,TRUSTEE AS REQUIRED,shawn
PAULA TUFANO ESQ 1 0,X,TRUSTEE AS REQUIRED,paula
MR THOMAS A WAGNER III 1 0,X,TRUSTEE AS REQUIRED,thomas
MR EDWARDJ WELSH 1 0,X,TRUSTEE AS REQUIRED,welsh
MS ANN DIEBOLD 35 0,"X 252,038 0 27,424",VP UNIVERSITY COMMUNICATION,ann
REV KAIL ELLIS OSA PhD 35 0,X,VP ACADEMIC AFFAIRS,kail
MS DEBRA FICKLER ESQ 35 0,"X 231,838 0 39,097",VP AND GENERAL COUNSEL 1 0,debra
MR STEPHEN W FUGALE 35 0,"X 285,523 0 75,424",VP FOR TECHNOLOGY AND CIO,stephen
MR MICHAELJ O'NEILL 35 0,"X 382,789 0 37,945",VP FOR UNIVERSITY ADVANCEMENT,o'neill
REV JOHN P STACK OSA 35 0,X,VP STUDENT LIFE,john
MR KENNETH G VALOSKY 35 0,"X 346,133 0 31,720",VP FOR ADMIN AND FINANCE 1 0,kenneth
BARBARA WALL PhD 35 0,"X 186,601 0 23,937",VP FOR MISSION AND MINISTRY,barbara
JOHN Y GOTANDA JD 35 0,"X 296,240 0 37,985","DEAN, SCHOOL OF LAW",john
GARY A GABRIELE PhD 35 0,"X 240,835 0 37,094","DEAN, ENGINEERING",gary
MS ELLEN KRUTZ 35 0,"X 172,048 0 25,703",Assoc VP HR/Affrm Action Offcr,ellen
JEAN ANN LINNEY PHD 35 0,"X 260,916 0 27,758","DEAN, COLLEGE OF ARTS&SCIENCES",jean
PATRICK G MAGGITTIPHD 35 0,"X 375,443 0 28,376","DEAN, SCHOOL OF BUSINESS",patrick
ALFONSO ORTEGA PhD 35 0,"X 247,196 0 31,970",ASSOC VP RESEARCH/GRAD PRGRMS,alfonso
MR FREDERICK C SIEBER 35 0,"X 166,354 0 22,600","ASSOC VP, AUXILIARY SERVICES",frederick
MR JEROLD T WRIGHT 35 0,"x 2,423,510 0 53,735","COACH, MEN'S BASKETBALL",jerold
MR ANDREWJ TALLEY 35 0,"X 302,062 0 35,525","COACH, FOOTBALL",talley
JONATHAN P DOH PHD 35 0,"X 296,881 0 26,081",PROFESSOR,jonathan
MICHAEL S PAGANO PHD 35 0,"X 295,944 0 35,499",PROFESSOR,michael
DANIEL WRIGHT PHD 35 0,"X 281,600 0 34,333","VICE DEAN, VSB",daniel
MS DORIS D BROGANESQ 35 0,"X 207,663 0 33,485",PROFESSOR OF LAW,doris
KEVIN D CLARK PHD 35 0,"X 252,235 0 72,720",ASSOCIATE PROFESSOR,kevin
JOHN A DOODY PHD 35 0,"X 171,003 0 22,502",PROFESSOR,john
JOHN R JOHANNES PhD 35 0,"X 195,640 0 32,010",PROFESSOR,john
